id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
C0051,Cherkaoui,Khalid,khalid.cherkaoui51@gmail.com,1972-06-04,Homme,Meknes,0639042654,2021-01-27,referral
C0052,Lahlou,Tariq,tariq.lahlou52@gmail.com,1971-05-08,h,agadir,0626989677,2022-12-29,social_media
C0053,Cherkaoui,Mohamed,mohamed.cherkaoui53@gmail.com,1973-08-04,h,Tanger,0655728776,2022-06-21,paid_search
C0054,Alami,Nadia,nadia.alami54@gmail.com,1990-10-21,female,Tanger,0621432787,2021-09-14,paid_search
C0055,Lahlou,Omar,omar.lahlou55@gmail.com,1979-07-15,h,Oujda,0650987442,2022-05-28,email
C0056,Berrada,Imane,imane.berrada56@gmail.com,1981-03-08,f,Rabat,0670465583,2022-04-16,email
C0057,Cherkaoui,Mohamed,mohamed.cherkaoui57@gmail.com,1994-04-09,1,Laayoune,0625405014,2022-05-20,email
C0058,Filali,Youssef,youssef.filali58@gmail.com,1975-10-24,Homme,Laayoune,0650814428,2022-08-17,referral
C0059,Benomar,Sanaa,sanaa.benomar59@gmail.com,1967-12-11,female,laayoune,0687201917,2023-10-12,email
C0060,Filali,Nadia,nadia.filali60@gmail.com,1993-03-19,f,Tetouan,0673083727,2020-07-05,social_media
C0061,Filali,Hassan,hassan.filali61@gmail.com,1996-07-27,m,MEKNES,0652213778,2020-06-29,social_media
C0062,Benali,Omar,omar.benali62@gmail.com,1999-01-07,h,Meknes,0669329732,2023-07-04,organic
C0063,Cherkaoui,Rachid,rachid.cherkaoui63@gmail.com,1996-11-20,1,Fes,0684121929,2020-01-29,referral
C0064,Alami,Ahmed,ahmed.alami64@gmail.com,1974-12-10,male,Meknes,0673380266,2022-09-15,paid_search
C0065,Berrada,Youssef,youssef.berrada65@gmail.com,1997-03-28,male,Casablanca,0655617282,2022-04-29,email
C0066,Cherkaoui,Mohamed,mohamed.cherkaoui66@gmail.com,2002-08-28,Homme,Rabat,0684077101,2021-11-11,email
C0067,Berrada,Hassan,hassan.berrada67@gmail.com,1979-07-02,1,Agadir,0661818612,2022-02-19,paid_search
C0068,Guerraoui,Mohamed,mohamed.guerraoui68@gmail.com,1986-08-04,1,meknes,0665026398,2020-10-22,paid_search
C0069,Lahlou,Amine,amine.lahlou69@gmail.com,1970-11-28,Homme,Meknes,0682613940,2022-09-26,organic
C0070,Berrada,Meryem,meryem.berrada70@gmail.com,1992-11-23,Femme,Casablanca,0616172803,2020-02-29,social_media
C0071,Tazi,Nadia,nadia.tazi71@gmail.com,1980-10-22,Femme,rabat,0693176117,2022-02-22,paid_search
C0072,Berrada,Tariq,tariq.berrada72@gmail.com,1981-11-01,1,Oujda,0619913576,2020-11-19,referral
C0073,Idrissi,Imane,imane.idrissi73@gmail.com,1994-04-13,Femme,OUJDA,0686762164,2022-02-20,social_media
C0074,Idrissi,Nadia,nadia.idrissi74@gmail.com,2001-12-02,f,Laayoune,0640885967,2021-08-09,email
C0075,Lahlou,Meryem,meryem.lahlou75@gmail.com,1973-11-21,0,Tanger,0658970845,2023-04-01,paid_search
C0076,Idrissi,Amine,amine.idrissi76@gmail.com,1973-06-17,Homme,Meknes,0674672520,2021-06-10,social_media
C0077,Benomar,Sara,sara.benomar77@gmail.com,1974-04-28,f,Tetouan,0622120246,2022-01-19,referral
C0078,Benomar,Rachid,rachid.benomar78@gmail.com,1981-11-12,m,Casablanca,0685350823,2023-06-22,social_media
C0079,Benomar,Meryem,meryem.benomar79@gmail.com,1984-02-05,f,Tanger,0625585427,2022-10-05,organic
C0080,Idrissi,Rachid,rachid.idrissi80@gmail.com,1999-12-24,1,Rabat,0692631441,2022-09-29,referral
C0081,Tazi,Nadia,nadia.tazi81@gmail.com,1993-06-04,f,Agadir,0618126895,2022-01-04,referral
C0082,Alami,Ahmed,ahmed.alami82@gmail.com,2005-01-02,male,agadir,0637542226,2023-03-02,organic
C0083,Lahlou,Sanaa,sanaa.lahlou83@gmail.com,1979-03-26,0,LAAYOUNE,0627447248,2020-10-23,email
C0084,Benali,Youssef,youssef.benali84@gmail.com,1987-04-19,m,AGADIR,0617032877,2021-06-27,paid_search
C0085,Alami,Sanaa,sanaa.alami85@gmail.com,1988-02-15,f,Meknes,0679987997,2023-09-11,social_media
C0086,Benomar,Mohamed,mohamed.benomar86@gmail.com,1992-08-23,m,OUJDA,0653233116,2020-06-14,email
C0087,Lahlou,Youssef,youssef.lahlou87@gmail.com,2000-07-20,Homme,Meknes,0623311507,2022-05-31,organic
C0088,Idrissi,Sanaa,sanaa.idrissi88@gmail.com,1979-08-13,0,Tetouan,0699269266,2021-10-02,social_media
C0089,Alami,Youssef,youssef.alami89@gmail.com,1970-02-24,male,Agadir,0685374852,2023-04-16,email
C0090,Tazi,Ahmed,ahmed.tazi90@gmail.com,1992-12-02,male,Marrakech,0678103759,2023-03-29,paid_search
C0091,Alami,Khalid,khalid.alami91@gmail.com,2000-05-19,1,Fes,0692352411,2023-06-27,email
C0092,Filali,Amine,amine.filali92@gmail.com,1984-06-01,m,Rabat,0619339597,2022-03-31,paid_search
C0093,Guerraoui,Fatima,fatima.guerraoui93@gmail.com,1991-03-12,f,Marrakech,0690023800,2023-03-08,organic
C0094,Lahlou,Zineb,zineb.lahlou94gmail.com,1970-11-14,0,Oujda,0678765957,2021-03-17,organic
C0095,Lahlou,Ahmed,ahmed.lahlou95@gmail.com,1984-07-20,Homme,TANGER,0638351344,2021-09-09,paid_search
C0096,Alami,Nadia,nadia.alami96gmail.com,1992-07-18,Femme,Fes,0619673809,2021-12-26,referral
C0097,Benali,Fatima,fatima.benali97@gmail.com,1969-10-14,female,Laayoune,0625458308,2021-08-15,referral
C0098,Lahlou,Hassan,hassan.lahlou98@gmail.com,1988-02-08,1,Tetouan,0651644346,2022-03-21,social_media
C0099,Guerraoui,Youssef,youssef.guerraoui99@gmail.com,1998-06-12,m,rabat,0633286644,2021-02-08,email
C0100,Benomar,Ahmed,ahmed.benomar100@gmail.com,2001-08-22,1,Laayoune,0694183695,2021-10-23,social_media
C0101,Benomar,Ahmed,ahmed.benomar101@gmail.com,1982-06-17,male,Casablanca,0659491122,2020-04-26,social_media
C0102,Lahlou,Ahmed,ahmed.lahlou102@gmail.com,1994-12-02,h,Oujda,0653154591,2021-01-20,email
C0103,Benomar,Youssef,youssef.benomar103@gmail.com,1986-02-17,m,RABAT,0668754920,2023-12-20,referral
C0104,Tazi,Imane,imane.tazi104@gmail.com,1983-06-22,0,LAAYOUNE,0696879854,2023-07-16,social_media
C0105,Idrissi,Ahmed,ahmed.idrissi105@gmail.com,2003-06-03,h,Laayoune,0698054173,2021-09-27,referral
C0106,Guerraoui,Ahmed,ahmed.guerraoui106@gmail.com,1986-11-23,Homme,MEKNES,0666828640,2023-10-05,email
C0107,Filali,Hassan,hassan.filali107@gmail.com,1986-08-07,Homme,Fes,0623574883,2021-08-28,email
C0108,Tazi,Sanaa,sanaa.tazi108@gmail.com,2004-07-05,f,Rabat,0632218290,2023-07-03,referral
C0109,Benomar,Hassan,hassan.benomar109@gmail.com,1993-04-10,1,Oujda,0686560394,2023-10-21,referral
C0110,Guerraoui,Amine,amine.guerraoui110@gmail.com,1975-10-05,male,MARRAKECH,0659823245,2022-09-11,email
C0111,Cherkaoui,Sanaa,sanaa.cherkaoui111@gmail.com,1975-09-05,f,TETOUAN,0670549373,2021-03-30,social_media
C0112,Idrissi,Laila,laila.idrissi112@gmail.com,1980-02-12,f,FES,0697236246,2020-07-21,social_media
C0113,Cherkaoui,Zineb,zineb.cherkaoui113@gmail.com,1995-03-25,f,oujda,0612550658,2020-06-11,social_media
C0114,Lahlou,Youssef,youssef.lahlou114@gmail.com,1972-04-10,h,CASABLANCA,0695758649,2022-05-09,email
C0115,Lahlou,Ahmed,ahmed.lahlou115@gmail.com,2005-04-23,male,rabat,0642287985,2021-12-23,email
C0116,Tazi,Ahmed,ahmed.tazi116@gmail.com,1998-09-18,h,Tanger,0661926331,2023-07-25,social_media
C0117,Alami,Mohamed,mohamed.alami117@gmail.com,2005-10-24,Homme,AGADIR,0683284724,2021-12-22,social_media
C0118,Benomar,Zineb,zineb.benomar118@gmail.com,1973-08-02,female,Marrakech,0652358553,2020-03-26,social_media
C0119,Cherkaoui,Sanaa,sanaa.cherkaoui119gmail.com,1977-01-28,female,Agadir,0663690013,2022-06-13,referral
C0120,Filali,Laila,laila.filali120@gmail.com,1996-09-09,Femme,casablanca,0634220459,2023-05-18,email
C0121,Tazi,Ahmed,ahmed.tazi121@gmail.com,1984-12-14,m,Rabat,0657319709,2020-03-27,email
C0122,Alami,Nadia,nadia.alami122@gmail.com,1990-12-22,f,rabat,0668810561,2023-05-29,organic
C0123,Tazi,Karim,karim.tazi123@gmail.com,2001-03-22,Homme,Oujda,0687030477,2020-06-06,paid_search
C0124,Cherkaoui,Laila,laila.cherkaoui124@gmail.com,1850-03-16,Femme,Meknes,0644935501,2021-06-20,referral
C0125,Benomar,Tariq,tariq.benomar125@gmail.com,1973-08-06,Homme,Oujda,0699635939,2021-10-16,social_media
C0126,Cherkaoui,Sanaa,sanaa.cherkaoui126@gmail.com,2005-06-17,Femme,FES,0628639738,2021-02-15,paid_search
C0127,Guerraoui,Fatima,fatima.guerraoui127@gmail.com,1994-09-05,Femme,laayoune,0674245343,2022-03-26,email
C0128,Alami,Omar,omar.alami128@gmail.com,1985-08-15,h,Meknes,0695871687,2023-02-03,email
C0129,Guerraoui,Youssef,youssef.guerraoui129@gmail.com,1968-09-05,male,Marrakech,0640262109,2023-12-23,social_media
C0130,Alami,Sanaa,sanaa.alami130@gmail.com,2005-05-05,Femme,marrakech,0632633927,2023-08-05,email
C0131,Lahlou,Zineb,zineb.lahlou131@gmail.com,2003-10-02,0,TANGER,0687412924,2023-08-06,social_media
C0132,Lahlou,Imane,imane.lahlou132@gmail.com,1996-09-10,female,Marrakech,0664504816,2023-11-03,social_media
C0133,Benomar,Mohamed,mohamed.benomar133@gmail.com,1994-10-05,1,Agadir,0663514837,2021-12-08,paid_search
C0134,Tazi,Sanaa,sanaa.tazi134@gmail.com,1972-04-05,f,CASABLANCA,0692594562,2022-02-25,referral
C0135,Lahlou,Youssef,youssef.lahlou135@gmail.com,1977-08-17,Homme,Oujda,0622086184,2020-02-17,referral
C0136,Lahlou,Meryem,meryem.lahlou136@gmail.com,1968-10-27,0,oujda,0667838146,2020-08-08,paid_search
C0137,Tazi,Sara,sara.tazi137gmail.com,1968-04-12,female,Meknes,0683800569,2022-07-11,social_media
C0138,Filali,Imane,imane.filali138@gmail.com,1990-06-18,f,Agadir,0663873262,2022-11-08,email
C0139,Tazi,Mohamed,mohamed.tazi139@gmail.com,1998-10-17,1,Rabat,0662741471,2020-11-28,email
C0140,Guerraoui,Nadia,nadia.guerraoui140@gmail.com,1999-10-10,Femme,Oujda,0624710878,2023-10-11,referral
C0141,Cherkaoui,Fatima,fatima.cherkaoui141@gmail.com,2002-12-02,female,Laayoune,0661028283,2023-06-23,paid_search
C0142,Lahlou,Meryem,meryem.lahlou142@gmail.com,1972-08-11,f,Tetouan,0677353073,2022-04-20,email
C0143,Guerraoui,Fatima,fatima.guerraoui143@gmail.com,1985-08-17,0,Tetouan,0655946354,2022-12-27,email
C0144,Benomar,Amine,amine.benomar144@gmail.com,1980-05-08,h,Marrakech,0675632882,2023-11-14,social_media
C0145,Cherkaoui,Rachid,rachid.cherkaoui145@gmail.com,1999-07-27,Homme,Agadir,0615646068,2021-08-17,social_media
C0146,Benomar,Khadija,khadija.benomar146@gmail.com,1995-09-09,Femme,meknes,0688763056,2023-06-14,paid_search
C0147,Berrada,Rachid,rachid.berrada147@gmail.com,1991-08-04,1,RABAT,0631198492,2023-02-01,referral
C0148,Berrada,Houda,houda.berrada148@gmail.com,1983-11-02,female,Casablanca,0633496796,2020-03-17,referral
C0149,Idrissi,Zineb,zineb.idrissi149@gmail.com,1976-05-02,f,Tanger,0648193218,2021-11-17,referral
C0150,Filali,Sanaa,sanaa.filali150@gmail.com,1994-02-11,female,Rabat,0611890348,2021-01-16,social_media
C0151,Filali,Imane,imane.filali151@gmail.com,2005-07-17,0,AGADIR,0622802372,2023-10-02,paid_search
C0152,Berrada,Houda,houda.berrada152gmail.com,1989-05-11,Femme,Marrakech,0697735896,2021-06-19,social_media
C0153,Benomar,Fatima,fatima.benomar153@gmail.com,1990-12-25,f,Marrakech,0659330907,2021-08-27,email
C0154,Filali,Youssef,youssef.filali154@gmail.com,2003-12-18,male,Oujda,0643214247,2021-03-23,email
C0155,Guerraoui,Khadija,khadija.guerraoui155@gmail.com,1969-02-02,female,Meknes,0630112846,2023-01-04,paid_search
C0156,Alami,Rachid,rachid.alami156@gmail.com,2002-09-15,male,Tanger,0685686878,2022-07-24,organic
C0157,Idrissi,Nadia,nadia.idrissi157@gmail.com,1965-10-03,f,Tanger,0618087373,2023-01-13,organic
C0158,Cherkaoui,Houda,houda.cherkaoui158@gmail.com,1973-12-21,f,Tetouan,0660666702,2022-07-07,referral
C0159,Tazi,Rachid,rachid.tazi159@gmail.com,1999-03-24,1,Fes,0672143331,2021-09-03,email
C0160,Berrada,Omar,omar.berrada160@gmail.com,1974-12-25,1,CASABLANCA,0666269520,2023-09-14,email
C0161,Berrada,Fatima,fatima.berrada161@gmail.com,2003-10-22,0,tanger,0641452485,2022-06-17,email
C0162,Guerraoui,Mohamed,mohamed.guerraoui162@gmail.com,1979-12-19,1,Agadir,0641796721,2021-10-18,social_media
C0163,Idrissi,Sanaa,sanaa.idrissi163@gmail.com,1968-10-24,0,Rabat,0616292676,2022-10-12,social_media
C0164,Idrissi,Laila,laila.idrissi164@gmail.com,1984-09-16,Femme,Fes,0629374563,2023-12-20,referral
C0165,Idrissi,Sanaa,sanaa.idrissi165@gmail.com,1973-05-07,female,Agadir,0622410307,2022-01-29,email
C0166,Cherkaoui,Meryem,meryem.cherkaoui166@gmail.com,2003-02-07,f,Laayoune,0638036618,2022-09-08,social_media
C0167,Berrada,Mohamed,mohamed.berrada167@gmail.com,1972-08-08,1,Laayoune,0684098828,2021-05-05,social_media
C0168,Guerraoui,Laila,laila.guerraoui168@gmail.com,1984-09-16,female,OUJDA,0652980983,2022-08-19,paid_search
C0169,Lahlou,Omar,omar.lahlou169@gmail.com,1850-09-19,m,Laayoune,0654273769,2021-02-05,paid_search
C0170,Guerraoui,Karim,karim.guerraoui170@gmail.com,1986-08-24,male,Oujda,0632718459,2021-12-22,paid_search
C0171,Guerraoui,Houda,houda.guerraoui171@gmail.com,1968-02-27,0,Tanger,0641062464,2023-07-15,organic
C0172,Guerraoui,Fatima,fatima.guerraoui172@gmail.com,1968-11-20,0,oujda,0684040345,2022-12-25,referral
C0173,Guerraoui,Rachid,rachid.guerraoui173@gmail.com,1966-12-22,Homme,Tetouan,0622927031,2020-08-07,email
C0174,Guerraoui,Karim,karim.guerraoui174@gmail.com,1987-07-03,h,Agadir,0640314047,2021-05-13,social_media
C0175,Alami,Khadija,khadija.alami175@gmail.com,1989-01-21,f,tanger,0696557984,2022-06-07,social_media
C0176,Berrada,Khadija,khadija.berrada176@gmail.com,2001-01-03,f,Marrakech,0634072553,2020-03-08,social_media
C0177,Filali,Karim,karim.filali177@gmail.com,1990-05-06,h,Laayoune,0682553061,2022-03-07,social_media
C0178,Guerraoui,Youssef,youssef.guerraoui178@gmail.com,1987-07-08,m,Casablanca,0663244581,2023-05-04,social_media
C0179,Benomar,Amine,amine.benomar179@gmail.com,2000-07-06,male,laayoune,0649645162,2023-06-20,paid_search
C0180,Filali,Khadija,khadija.filali180@gmail.com,2005-07-11,Femme,AGADIR,0651374957,2020-01-11,referral
C0181,Filali,Amine,amine.filali181@gmail.com,1992-09-17,m,TETOUAN,0657501571,2020-07-02,email
C0182,Idrissi,Tariq,tariq.idrissi182gmail.com,1991-02-24,Homme,Meknes,0679941466,2023-03-17,paid_search
C0183,Cherkaoui,Zineb,zineb.cherkaoui183@gmail.com,1996-03-14,0,Marrakech,0658469365,2020-06-06,social_media
C0184,Benomar,Houda,houda.benomar184@gmail.com,1850-07-11,0,Laayoune,0654927535,2022-06-20,referral
C0185,Cherkaoui,Imane,imane.cherkaoui185@gmail.com,1977-03-13,0,Agadir,0687293208,2022-10-02,paid_search
C0186,Tazi,Amine,amine.tazi186@gmail.com,2001-09-06,male,MEKNES,0638138531,2022-08-03,referral
C0187,Benomar,Khadija,khadija.benomar187@gmail.com,1984-11-05,female,tetouan,0674321792,2023-05-09,email
C0188,Guerraoui,Rachid,rachid.guerraoui188gmail.com,1988-09-20,male,CASABLANCA,0698261798,2021-05-23,social_media
C0189,Lahlou,Tariq,tariq.lahlou189@gmail.com,1990-06-26,m,TETOUAN,0644727276,2020-07-20,paid_search
C0190,Benomar,Sanaa,sanaa.benomar190@gmail.com,1994-10-23,0,Meknes,0624032377,2022-09-15,social_media
C0191,Filali,Ahmed,ahmed.filali191@gmail.com,1986-04-17,m,oujda,0670726434,2023-11-27,social_media
C0192,Benali,Mohamed,mohamed.benali192@gmail.com,1971-03-24,m,Fes,0685141654,2021-11-08,referral
C0193,Filali,Meryem,meryem.filali193@gmail.com,1992-12-20,female,Fes,0638829445,2020-01-10,paid_search
C0194,Alami,Ahmed,ahmed.alami194@gmail.com,1999-06-07,h,OUJDA,0675697427,2023-10-05,email
C0195,Lahlou,Sara,sara.lahlou195@gmail.com,1972-08-20,female,Rabat,0692474715,2021-09-01,email
C0196,Alami,Youssef,youssef.alami196@gmail.com,1972-12-05,Homme,Meknes,0661500679,2023-03-23,referral
C0197,Guerraoui,Rachid,rachid.guerraoui197@gmail.com,1983-06-27,1,Oujda,0675043108,2020-01-20,paid_search
C0198,Guerraoui,Omar,omar.guerraoui198@gmail.com,1991-07-23,h,oujda,0639598969,2020-03-04,social_media
C0199,Cherkaoui,Karim,karim.cherkaoui199@gmail.com,1994-08-18,h,MEKNES,0645955440,2020-08-21,email
C0200,Benomar,Sara,sara.benomar200@gmail.com,1992-11-25,f,Fes,0645274462,2022-07-10,social_media
C0201,Alami,Khadija,khadija.alami201@gmail.com,1980-12-19,female,Agadir,0632277675,2022-05-26,email
C0202,Benali,Karim,karim.benali202@gmail.com,1999-09-06,1,Agadir,0645882178,2023-03-18,email
C0203,Idrissi,Khadija,khadija.idrissi203@gmail.com,1982-03-23,0,Rabat,0662707402,2021-05-21,referral
C0204,Idrissi,Amine,amine.idrissi204@gmail.com,2005-02-13,male,Meknes,0671028216,2022-01-25,referral
C0205,Benomar,Mohamed,mohamed.benomar205@gmail.com,1987-09-13,m,Fes,0646042404,2022-10-10,social_media
C0206,Lahlou,Sara,sara.lahlou206@gmail.com,1986-01-02,0,Casablanca,0626674831,2020-02-03,paid_search
C0207,Berrada,Mohamed,mohamed.berrada207@gmail.com,1973-05-06,male,MARRAKECH,0643606680,2022-01-08,organic
C0208,Idrissi,Youssef,youssef.idrissi208@gmail.com,1979-02-23,m,CASABLANCA,0620460758,2022-09-03,paid_search
C0209,Benali,Sanaa,sanaa.benali209gmail.com,1986-07-23,female,Rabat,0623747542,2020-07-01,organic
C0210,Idrissi,Amine,amine.idrissi210@gmail.com,1973-11-05,1,casablanca,0632027350,2023-08-24,referral
C0211,Idrissi,Karim,karim.idrissi211@gmail.com,1993-02-04,1,Rabat,0657182314,2022-02-25,referral
C0212,Cherkaoui,Youssef,youssef.cherkaoui212@gmail.com,1980-10-24,1,Laayoune,0698369672,2020-02-24,social_media
C0213,Berrada,Tariq,tariq.berrada213@gmail.com,1983-04-16,h,TETOUAN,0695641960,2022-10-20,email
C0214,Tazi,Mohamed,mohamed.tazi214@gmail.com,2001-09-22,Homme,Rabat,0612240013,2020-05-29,email
C0215,Benali,Amine,amine.benali215@gmail.com,1990-11-23,1,Meknes,0621063273,2022-04-03,email
C0216,Alami,Zineb,zineb.alami216@gmail.com,1997-03-18,Femme,Agadir,0696322745,2023-08-23,organic
C0217,Benali,Omar,omar.benali217@gmail.com,1992-10-20,1,Tanger,0626031369,2020-12-25,organic
C0218,Benomar,Fatima,fatima.benomar218@gmail.com,1998-12-09,0,Rabat,0625845304,2021-07-04,organic
C0219,Guerraoui,Omar,omar.guerraoui219@gmail.com,2001-08-15,Homme,Meknes,0632398441,2023-03-06,social_media
C0220,Alami,Ahmed,ahmed.alami220@gmail.com,1850-01-08,h,Tanger,0634019729,2020-11-03,organic
C0221,Tazi,Laila,laila.tazi221@gmail.com,1985-02-19,0,AGADIR,0617069536,2023-10-10,paid_search
C0222,Idrissi,Rachid,rachid.idrissi222@gmail.com,1994-05-11,m,casablanca,0649137230,2021-02-14,email
C0223,Benomar,Imane,imane.benomar223@gmail.com,1996-04-24,0,Meknes,0665034115,2020-01-14,organic
C0224,Tazi,Hassan,hassan.tazi224gmail.com,1989-12-10,m,Casablanca,0676038997,2022-05-09,organic
C0225,Alami,Zineb,zineb.alami225gmail.com,1979-09-14,Femme,Agadir,0622828128,2023-04-04,email
C0226,Lahlou,Omar,omar.lahlou226@gmail.com,1992-03-08,m,Marrakech,0653788744,2022-03-15,social_media
C0227,Berrada,Karim,karim.berrada227@gmail.com,2002-02-06,m,Oujda,0658088526,2023-01-02,paid_search
C0228,Alami,Khalid,khalid.alami228@gmail.com,1984-12-20,Homme,Tanger,0622242388,2020-10-30,paid_search
C0229,Cherkaoui,Laila,laila.cherkaoui229@gmail.com,1976-07-28,f,Oujda,0672014395,2020-07-12,organic
C0230,Benali,Zineb,zineb.benali230@gmail.com,1979-07-12,f,Casablanca,0612925970,2020-06-02,organic
C0231,Alami,Khalid,khalid.alami231@gmail.com,1986-08-02,1,Rabat,0676588957,2022-03-19,organic
